"fips","state","base","service_branch","zip_code","coordinates","nmc","miles_to_nmc","headcount_below_2000","total_sponsors","total_spouses","children0-5","children6-11","children12-18","children19andup","other_dependents","total_personnel","family_support_center","personal_financial_management","chaplains","morale_welfare_recreation","county","median_contract_rent","geometry"
"51013","Virginia","Pentagon","DOD","20301","38.870991, -77.055959","Washington D.C.",2,"No",7612,5555,2991,3838,3727,1138,"99","24960","YES","NO","YES","NO","Arlington County, Virginia",2124,c(1962573.16549952, -407384.459717771)
"51013","Virginia","Fort Myer","Army","22211","38.880990, -77.080405","Washington D.C.",1,"No",2133,1074,619,470,386,84,"17","4783","YES","YES","YES","YES","Arlington County, Virginia",2124,c(1960262.05670627, -406883.551548605)
"06059","California","Seal Beach NAVWEAPSTA","Navy","90740","33.749834, -118.088769","Long Beach",1,"Yes",212,122,81,66,49,12,"0","542","NO","YES","NO","YES","Orange County, California",2120,c(-1668194.20647169, -1069308.53186955)
"06111","California","Pt Mugu NAS","Navy","93042","34.115783, -119.088213","Oxnard",7,"Yes",1372,672,460,380,225,34,"4","3147","NO","YES","YES","YES","Ventura County, California",2014,c(-1750399.85006162, -1009302.38110278)
"06111","California","Port Hueneme NCBC","Navy","93043","34.168520, -119.201604","Los Angeles",60,"No",3264,1587,1004,731,525,99,"7","7217","NO","YES","YES","YES","Ventura County, California",2014,c(-1759400.25606688, -1001212.54262276)
"51059","Colorado","Peterson AFB","Air Force","80914","38.824734, -104.704033","Colorado Springs",6,"No",3645,2136,1446,1363,1021,229,"15","9855","YES","YES","YES","NO","Fairfax County, Virginia",1983,c(-408734.638714634, -674088.07265038)
"51059","Virginia","Fort Belvoir","Army","22060","38.699681, -77.155401","Washington D.C.",10,"No",4614,2908,2002,1933,1558,396,"78","13489","YES","YES","YES","YES","Fairfax County, Virginia",1983,c(1959226.96951203, -428266.021346479)
"51059","Colorado","Schriever AFB","Air Force","80912","38.802568, -104.518953","Colorado Springs",10,"Yes",1853,993,671,546,381,74,"14","4532","YES","YES","YES","YES","Fairfax County, Virginia",1983,c(-392797.198734291, -677431.036543889)
"36059","New York","1st Marine Corps District","Marine Corps","11530","40.729431, -73.614484","New York",25,"Yes",391,240,188,133,71,12,"2","1037","NO","NO","NO","NO","Nassau County, New York",1944,c(2183241.74491482, -120472.131023917)
"06073","California","Camp Pendleton","Marine Corps","92055","33.309353, -117.315158","San Diego",35,"No",39690,14060,8218,5035,3081,570,"46",NA,"YES","YES","YES","YES","San Diego County, California",1886,c(-1606886.74053178, -1132242.37389767)
"06073","California","Fleet ASW Training Center Pacific","Navy","92147","32.725156, -117.220570","San Diego",7,"Yes",1417,816,568,474,418,84,"9","3786","NO","NO","NO","NO","San Diego County, California",1886,c(-1609757.20497437, -1197755.58586564)
"06073","California","Naval Medical Center San Diego","Navy","92134","32.725023, -117.145539","San Diego",0,"No",4028,1797,1266,893,587,127,"16","8714","NO","NO","NO","NO","San Diego County, California",1886,c(-1602862.02844573, -1199181.52369578)
"06073","California","San Diego MC Recruit Depot","Marine Corps","92140","32.742070, -117.199353","San Diego",2,"No",6764,1121,828,600,305,49,"6","9673","YES","YES","YES","YES","San Diego County, California",1886,c(-1607475.84262753, -1196310.34585527)
"06073","California","North Island NAS","Navy","92135","32.699678, -117.183127","San Diego",4,"No",8809,4070,2895,2110,1392,302,"7","19585","NO","NO","NO","NO","San Diego County, California",1886,c(-1606813.10775885, -1201239.87135464)
