fips,state,base,service_branch,zip_code,coordinates,nmc,miles_to_nmc,headcount_below_2000,total_sponsors,total_spouses,children0-5,children6-11,children12-18,children19andup,other_dependents,total_personnel,family_support_center,personal_financial_management,chaplains,morale_welfare_recreation,county,median_contract_rent,total_obligated_amount_sum,geometry,
51059,Virginia,Fort Belvoir,Army,22060,"38.699681, -77.155401",Washington D.C.,10,No,4614,2908,2002,1933,1558,396,78,13489,YES,YES,YES,YES,"Fairfax County, Virginia",1983,698904087,c(1959226.96951203, -428266.021346479)
24037,Maryland,Patuxent River NAS,Navy,20670,"38.276505, -76.439963",Washington D.C.,65,No,2267,1501,1005,868,641,132,3,6417,YES,YES,YES,YES,"St. Mary's County, Maryland",1409,227485357,c(2030954.65714032, -456750.045512097)
11001,District of Columbia,Fort Lesley J McNair,Army,20319,"38.868233, -77.014071",Washington D.C.,0,Yes,975,724,328,555,583,193,8,3366,YES,NO,NO,NO,"District of Columbia, District of Columbia",1727,167027558,c(1966120.73678652, -406687.065039516)
11001,District of Columbia,Washington NAVDIST HQ,Navy,20374,"38.871753, -76.993823",Washington D.C.,0,No,3100,1949,1144,1105,989,230,18,8535,YES,YES,YES,YES,"District of Columbia, District of Columbia",1727,167027558,c(1967695.77861171, -405824.672808824)
11001,District of Columbia,"Marine Barracks, Washington D.C.",Marine Corps,20390,"38.879906, -76.994405",Washington D.C.,0,Yes,1424,669,406,374,262,57,6,3198,NO,NO,NO,NO,"District of Columbia, District of Columbia",1727,167027558,c(1967412.93964304, -404957.207053683)
11001,District of Columbia,Joint Base Anacostia-Bolling,DOD,20332,"38.841156, -77.018236",Washington D.C.,0,No,2491,1344,860,780,529,124,17,6145,YES,NO,YES,YES,"District of Columbia, District of Columbia",1727,167027558,c(1966554.1839342, -409713.276796573)
11001,Virginia,"Headquarters, Marine Corps",Marine Corps,22214,"38.879493, -76.994518",Washington D.C.,1,Yes,171,91,72,32,35,8,0,409,NO,NO,NO,NO,"District of Columbia, District of Columbia",1727,167027558,c(1967415.47386443, -405004.541552903)
51153,Missouri,Naval Research Center St. Louis,Navy,63044,"38.747460, -90.370522",St. Louis,10,Yes,278,194,146,128,85,11,1,843,NO,NO,NO,NO,"Prince William County, Virginia",1755,43717440,c(835994.915674367, -645906.396019988)
51153,Virginia,MCCDC Quantico VA,Marine Corps,22134,"38.507898, -77.307027",Washington D.C.,35,No,8409,4160,2776,2069,1484,370,17,19285,YES,YES,YES,YES,"Prince William County, Virginia",1755,43717440,c(1952053.66454863, -452592.524297713)
51153,Missouri,Whiteman AFB,Air Force,65305,"38.732016, -93.559984",Kansas City,60,No,3831,1703,1203,870,524,72,9,8212,YES,YES,YES,YES,"Prince William County, Virginia",1755,43717440,c(560086.165739284, -674284.552954416)
24003,Maryland,Annapolis NS (Incl. USNA),Navy,21402,"38.981965, -76.483779",Annapolis,0,Yes,1447,687,474,375,296,81,5,3365,YES,YES,YES,YES,"Anne Arundel County, Maryland",1733,42805481,c(2006627.2775953, -381648.304450292)
24003,Maryland,Fort George G. Meade,Army,20755,"39.097834, -76.729242",Baltimore,15,No,11140,5497,3731,3103,2096,385,93,26041,YES,YES,YES,YES,"Anne Arundel County, Maryland",1733,42805481,c(1982994.09278976, -375066.028060433)
48029,Texas,Randolph AFB,Air Force,78150,"29.538519, -98.285344",San Antonio,5,No,2813,1548,1122,1050,879,183,20,7615,YES,YES,YES,YES,"Bexar County, Texas",1045,41053887,c(167694.576949653, -1709388.56995184)
