"fips","state","base","service_branch","zip_code","coordinates","nmc","miles_to_nmc","headcount_below_2000","total_sponsors","total_spouses","children0-5","children6-11","children12-18","children19andup","other_dependents","total_personnel","family_support_center","personal_financial_management","chaplains","morale_welfare_recreation","county","median_contract_rent","geometry"
"06059","California","Seal Beach NAVWEAPSTA","Navy","90740","33.749834, -118.088769","Long Beach",1,"Yes",212,122,81,66,49,12,"0","542","NO","YES","NO","YES","Orange County, California",2120,c(-1668194.20647169, -1069308.53186955)
"06111","California","Pt Mugu NAS","Navy","93042","34.115783, -119.088213","Oxnard",7,"Yes",1372,672,460,380,225,34,"4","3147","NO","YES","YES","YES","Ventura County, California",2014,c(-1750399.85006162, -1009302.38110278)
"51059","Colorado","Schriever AFB","Air Force","80912","38.802568, -104.518953","Colorado Springs",10,"Yes",1853,993,671,546,381,74,"14","4532","YES","YES","YES","YES","Fairfax County, Virginia",1983,c(-392797.198734291, -677431.036543889)
"36059","New York","1st Marine Corps District","Marine Corps","11530","40.729431, -73.614484","New York",25,"Yes",391,240,188,133,71,12,"2","1037","NO","NO","NO","NO","Nassau County, New York",1944,c(2183241.74491482, -120472.131023917)
"06073","California","Fleet ASW Training Center Pacific","Navy","92147","32.725156, -117.220570","San Diego",7,"Yes",1417,816,568,474,418,84,"9","3786","NO","NO","NO","NO","San Diego County, California",1886,c(-1609757.20497437, -1197755.58586564)
"06073","California","San Diego Point Loma","Navy","92106","32.683205, -117.240132","San Diego",5,"Yes",1252,728,532,390,303,81,"6","3292","YES","YES","YES","YES","San Diego County, California",1886,c(-1612377.80659793, -1201962.28759365)
"25017","Massachusetts","Hanscom AFB","Air Force","1731","42.456877, -71.274214","Boston",20,"Yes",833,418,236,259,175,32,"4","1957","YES","YES","YES","YES","Middlesex County, Massachusetts",1837,c(2303016.75096535, 128366.965667432)
"15003","Hawaii","Camp H.M Smith","Marine Corps","96861","21.385863, -157.908450","Honolulu",10,"Yes",1172,848,467,569,440,143,"8","3647","NO","NO","NO","NO","Honolulu County, Hawaii",1824,c(-624107.113007731, -1953829.41481731)
"15003","Hawaii","Tripler Army Medical Center","Army","96859","21.359207, -157.893040","Honolulu",3,"Yes",1765,1000,672,528,377,97,"56","4495","NO","NO","NO","NO","Honolulu County, Hawaii",1824,c(-622166.584352489, -1956994.55267913)
"24031","District of Columbia","Walter Reed Army Medical Center","Army","20307","39.000774, -77.094052","Washington D.C.",0,"Yes",266,178,156,109,63,12,"4","788","NO","NO","NO","NO","Montgomery County, Maryland",1823,c(1955695.9468758, -394256.044181616)
"25021","Massachusetts","Westover ARB AFB","Air Force","1022","42.197851, -72.545324","Springfield",10,"Yes",168,99,65,51,29,3,"0","415","YES","YES","YES","YES","Norfolk County, Massachusetts",1794,c(2215434.15118859, 65345.8828875734)
"51153","Missouri","Naval Research Center St. Louis","Navy","63044","38.747460, -90.370522","St. Louis",10,"Yes",278,194,146,128,85,11,"1","843","NO","NO","NO","NO","Prince William County, Virginia",1755,c(835994.915674367, -645906.396019988)
"24003","Maryland","Annapolis NS (Incl. USNA)","Navy","21402","38.981965, -76.483779","Annapolis",0,"Yes",1447,687,474,375,296,81,"5","3365","YES","YES","YES","YES","Anne Arundel County, Maryland",1733,c(2006627.2775953, -381648.304450292)
"06053","California","NAS Monterey/Naval Postgraduate School","Navy","93943","36.596812, -121.874274","Monterey",0,"Yes",871,531,401,255,114,35,"3","2210","NO","NO","NO","YES","Monterey County, California",1730,c(-1934939.88623947, -678675.890996383)
"11001","District of Columbia","Marine Barracks, Washington D.C.","Marine Corps","20390","38.879906, -76.994405","Washington D.C.",0,"Yes",1424,669,406,374,262,57,"6","3198","NO","NO","NO","NO","District of Columbia, District of Columbia",1727,c(1967412.93964304, -404957.207053683)
"11001","District of Columbia","Fort Lesley J McNair","Army","20319","38.868233, -77.014071","Washington D.C.",0,"Yes",975,724,328,555,583,193,"8","3366","YES","NO","NO","NO","District of Columbia, District of Columbia",1727,c(1966120.73678652, -406687.065039516)
"11001","Virginia","Headquarters, Marine Corps","Marine Corps","22214","38.879493, -76.994518","Washington D.C.",1,"Yes",171,91,72,32,35,8,"0","409","NO","NO","NO","NO","District of Columbia, District of Columbia",1727,c(1967415.47386443, -405004.541552903)
"12087","Florida","Key West NAS","Navy","33040","24.568068, -81.768698","Miami",150,"Yes",797,423,255,158,112,38,"0","1783","YES","YES","YES","YES","Monroe County, Florida",1725,c(1859937.48978353, -2063977.46911093)
"34027","New Jersey","Picatinny Arsenal","Army","7806","40.943249, -74.567258","Newark",30,"Yes",129,99,85,73,48,14,"2","450","YES","YES","YES","NO","Morris County, New Jersey",1692,c(2100651.76670159, -122523.869016139)
"06037","California","Los Angeles AFB","Air Force","90245","33.918366, -118.382831","Los Angeles",10,"Yes",1435,786,489,449,282,59,"10","3510","YES","YES","YES","YES","Los Angeles County, California",1666,c(-1691206.89233398, -1045121.72185606)
"24017","Maryland","Indian Head NAV ORD STA","Navy","20640","38.600002, -77.169908","Washington D.C.",25,"Yes",584,257,149,121,80,12,"1","1204","YES","YES","NO","YES","Charles County, Maryland",1664,c(1960859.94322693, -439389.410212151)
"36047","New York","Fort Hamilton","Army","11252","40.608516, -74.027896","New York",0,"Yes",211,143,105,114,59,7,"6","645","YES","YES","YES","YES","Kings County, New York",1592,c(2154508.09827092, -144398.369076594)
"51199","Virginia","Yorktown Navy Weapon Station","Navy","23691","37.235462, -76.549474","Newport News",2,"Yes",1311,554,345,295,182,26,"3","2716","YES","YES","YES","YES","York County, Virginia",1548,c(2051866.08510653, -571880.663515613)
"34025","New Jersey","Earle NAVWEAPSTA","Navy","7722","40.264954, -74.161471","Newark",50,"Yes",370,206,128,103,65,9,"0","881","YES","YES","YES","YES","Monmouth County, New Jersey",1507,c(2155230.64976552, -184762.716864311)
"06065","California","March AFB","Air Force","92518","33.891678, -117.260703","San Bernardino",21,"Yes",324,192,165,113,62,9,"1","866","YES","YES","YES","YES","Riverside County, California",1497,c(-1590315.58115163, -1069722.29540473)
