"fips","state","base","service_branch","zip_code","coordinates","nmc","miles_to_nmc","headcount_below_2000","total_sponsors","total_spouses","children0-5","children6-11","children12-18","children19andup","other_dependents","total_personnel","family_support_center","personal_financial_management","chaplains","morale_welfare_recreation","county","median_contract_rent","total_obligated_amount_sum","small_total_obligated_amount_sum","geometry"
"06053","California","NAS Monterey/Naval Postgraduate School","Navy","93943","36.596812, -121.874274","Monterey",0,"Yes",871,531,401,255,114,35,"3","2210","NO","NO","NO","YES","Monterey County, California",1730,1629250,1629250,c(-1934939.88623947, -678675.890996383)
"06073","California","Fleet ASW Training Center Pacific","Navy","92147","32.725156, -117.220570","San Diego",7,"Yes",1417,816,568,474,418,84,"9","3786","NO","NO","NO","NO","San Diego County, California",1886,2729201,841244,c(-1609757.20497437, -1197755.58586564)
"11001","District of Columbia","Marine Barracks, Washington D.C.","Marine Corps","20390","38.879906, -76.994405","Washington D.C.",0,"Yes",1424,669,406,374,262,57,"6","3198","NO","NO","NO","NO","District of Columbia, District of Columbia",1727,167027558,4392774,c(1967412.93964304, -404957.207053683)
"11001","Virginia","Headquarters, Marine Corps","Marine Corps","22214","38.879493, -76.994518","Washington D.C.",1,"Yes",171,91,72,32,35,8,"0","409","NO","NO","NO","NO","District of Columbia, District of Columbia",1727,167027558,4392774,c(1967415.47386443, -405004.541552903)
"12095","Florida","NSA Orlando","Navy","32826","28.584035, -81.197681","Orlando",0,"Yes",163,123,79,74,60,4,"0","503","YES","NO","NO","YES","Orange County, Florida",1364,14422,14422,c(1840322.06032843, -1616722.91437864)
"15003","Hawaii","Camp H.M Smith","Marine Corps","96861","21.385863, -157.908450","Honolulu",10,"Yes",1172,848,467,569,440,143,"8","3647","NO","NO","NO","NO","Honolulu County, Hawaii",1824,14164279,1836814,c(-624107.113007731, -1953829.41481731)
"18097","Indiana","DFAS Indianapolis Center","DOD","46226","39.853688, -86.014538","Indianapolis",14,"Yes",149,101,85,59,45,8,"3","450","NO","NO","NO","NO","Marion County, Indiana",845,33392488,7473340,c(1190902.12056374, -470884.781486577)
"28059","Mississippi","Pascagoula NAVSTA","Navy","39595","30.336758, -88.576686","Mobile, AL",30,"Yes",644,388,240,210,140,31,"0","1653","NO","NO","NO","NO","Jackson County, Mississippi",806,11037,11037,c(1103295.59456549, -1550554.0514345)
"39049","Ohio","Navy Finance Center","Navy","44199","39.977277, -82.913527","Cleveland",0,"Yes",224,174,114,113,80,15,"2","722","NO","NO","NO","NO","Franklin County, Ohio",976,8050,8050,c(1448028.77286906, -407878.694343161)
"42041","Pennsylvania","Navy Ships Parts
Control Center","Navy","17055","40.22814, -76.98632","Harrisburg",10,"Yes",156,108,52,75,78,13,"1","483","NO","NO","NO","NO","Cumberland County, Pennsylvania",977,395820,395820,c(1928881.1427371, -259054.870160531)
"42101","Pennsylvania","Defense Supply Ctr
Philadelphia","DOD","19111","39.91680, -75.18156","Philadelphia",0,"Yes",335,220,152,145,111,22,"2","987","YES","NO","NO","NO","Philadelphia County, Pennsylvania",1042,1322083,6532,c(2084445.82504849, -248534.399434971)
"48465","Texas","Laughlin AFB","Air Force","78843","29.357828, -100.785227","Del Rio",6,"Yes",1388,595,358,193,101,18,"2","2655","NO","NO","YES","NO","Val Verde County, Texas",717,20644,20644,c(-76900.7632431551, -1730540.83982937)
"50007","Vermont","Burlington IAP-AGS","Air Force","05403","44.473397, -73.146340","Albany",151,"Yes",113,56,42,35,17,2,"1","266","NO","NO","NO","NO","Chittenden County, Vermont",1358,31178,31178,c(2088030.56685807, 291926.24042261)
"51153","Missouri","Naval Research Center St. Louis","Navy","63044","38.747460, -90.370522","St. Louis",10,"Yes",278,194,146,128,85,11,"1","843","NO","NO","NO","NO","Prince William County, Virginia",1755,43717440,1700932,c(835994.915674367, -645906.396019988)
"51710","Virginia","Norfolk Naval Safety Center","Navy","23511","36.949188, -76.268761","Norfolk",0,"Yes",323,164,107,114,88,11,"1","808","NO","NO","NO","NO","Norfolk city, Virginia",1005,21579531,238587,c(2083882.50853492, -595825.121440684)
