"Year","EIN","NTEEFINAL","NTEECC","NTEE1","NAICS","NAME","ADDRESS","CITY","STATE","ZIP5","FIPS","TAXPER","ASSETS","INCOME","CASSETS","RULEDATE","CTAXPER","CTOTREV","ACCPER","LEVEL1","LEVEL2","LEVEL3","LEVEL4","NTMAJ5","NTMAJ10","NTMAJ12","MAJGRPB"
1989,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
1989,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
1989,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
1989,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
1989,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
1989,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
1989,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
1990,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
1990,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
1990,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
1990,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
1990,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
1990,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
1990,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
1991,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
1991,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
1991,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
1991,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
1991,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
1991,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
1991,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
1992,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
1992,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
1992,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
1992,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
1992,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
1992,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
1992,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
1993,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
1993,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
1993,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
1993,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
1993,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
1993,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
1993,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
